word,count
the,2516
on,1700
and,1551
it,1416
a,1398
by,1342
0,1285
to,1202
i,1058
for,982
2015,936
of,814
is,803
5,799
this,717
2014,686
my,628
as,614
with,599
but,537
in,525
not,522
was,521
good,467
2013,432
very,429
great,419
jan,399
dec,391
are,383
they,380
you,373
have,366
4,353
that,353
t,337
2,333
so,298
s,294
be,282
1,279
nov,254
quality,251
them,249
2016,246
all,245
would,242
one,234
stars,228
3,221
he,217
feb,212
these,211
bought,210
july,200
oct,200
had,198
well,197
really,193
five,187
old,185
at,177
if,173
up,170
were,168
just,167
april,166
we,166
has,164
product,162
when,161
little,159
sept,159
may,159
aug,159
from,154
can,153
year,153
which,152
fun,152
will,146
mar,145
what,143
than,143
like,141
jun,138
son,136
time,135
love,133
out,132
game,131
toy,129
money,129
loves,129
buy,128
2012,127
6,125
item,124
20,124
arrived,120
get,118
more,117
his,114
too,113
7,112
10,112
only,112
happy,110
christmas,107
play,107
disappointed,105
been,105
or,104
no,103
an,102
made,101
30,100
nice,99
14,99
there,97
use,97
loved,97
12,97
value,96
do,95
16,94
17,93
8,92
much,92
price,90
some,90
19,90
11,89
she,89
29,89
got,89
looks,89
21,88
don,88
recommend,88
9,87
off,86
26,86
15,85
daughter,84
other,83
set,83
present,83
25,82
amazon,82
children,82
birthday,81
27,81
its,81
plastic,78
bit,77
does,76
two,76
even,76
also,75
23,74
look,74
used,74
after,74
24,73
small,73
13,73
still,73
who,73
now,72
18,72
28,72
quite,71
better,71
about,70
balloons,70
mrs,69
excellent,69
any,69
then,68
me,68
expected,67
22,66
over,66
your,66
delivery,65
m,64
poor,64
sand,64
party,64
box,63
day,63
grandson,62
brilliant,62
thought,62
could,62
perfect,61
kids,60
cheap,60
her,59
again,58
think,57
pleased,57
track,57
worth,56
pool,56
gift,55
came,55
colour,55
our,54
did,54
model,54
ordered,53
size,53
customer,53
bands,53
picture,51
make,51
however,50
31,50
though,50
lot,50
together,49
2011,49
different,48
hours,48
lovely,48
doesn,48
big,48
pieces,47
cards,46
new,46
didn,46
easy,46
few,46
ones,46
because,46
child,45
found,45
playing,45
looking,45
put,45
first,45
fine,44
disappointing,44
down,44
part,43
quickly,43
go,43
enough,43
long,43
work,43
wanted,42
say,42
find,42
before,42
into,42
definitely,42
j,41
am,40
should,40
d,39
received,39
way,39
how,39
want,39
fantastic,39
white,38
looked,38
purchase,38
both,37
their,37
sure,37
days,37
same,37
quick,36
back,36
2009,36
another,36
come,36
lego,36
star,35
four,35
easily,35
gold,35
described,35
rather,34
bag,34
last,34
around,34
need,34
ve,33
smaller,33
without,33
top,33
flimsy,33
pretty,33
pack,33
best,32
know,32
waste,32
board,32
figure,32
colours,31
exactly,31
fit,31
service,31
each,31
never,31
most,31
away,31
give,31
seems,30
missing,30
friends,30
played,30
keep,30
mr,30
absolutely,30
once,30
going,30
boy,30
ok,30
pencils,30
actually,29
granddaughter,29
having,29
something,29
thing,29
figures,29
needed,28
nothing,28
couple,28
packaging,28
toys,28
else,28
see,28
being,28
either,28
banner,28
stocking,27
people,27
bright,27
lots,27
job,27
parts,27
yet,27
opened,27
buying,27
three,27
review,27
weeks,27
read,26
take,26
dice,26
feel,26
years,26
since,26
such,26
every,26
packaged,26
re,26
shame,26
delivered,26
car,26
although,25
expect,25
xmas,25
while,25
description,25
fast,25
miss,25
comes,25
p,25
video,25
beads,25
c,25
seller,25
highly,24
far,24
seem,24
things,24
calendar,24
soon,24
rubbish,24
times,24
him,24
where,24
james,23
clear,23
probably,23
fab,23
thin,23
open,23
order,23
stay,23
broken,23
idea,23
itself,23
case,23
took,23
within,23
using,23
tried,23
collection,22
red,22
extra,22
l,22
family,22
makes,22
pictures,22
mad,22
expensive,22
end,22
always,22
own,22
bad,22
many,22
mask,22
pink,21
thanks,21
real,21
able,21
right,21
advent,21
girl,21
bigger,21
metallic,21
next,21
black,21
water,21
try,20
left,20
filler,20
pay,20
hard,20
hold,20
hands,20
straight,20
models,20
help,20
works,20
done,20
place,20
couldn,20
must,20
sent,20
bits,20
along,20
wheels,20
side,20
cars,20
thank,19
original,19
getting,19
won,19
whole,19
enjoyed,19
pen,19
cost,19
strong,19
piece,19
amazing,19
train,19
reviews,18
shown,18
making,18
says,18
card,18
completely,18
watch,18
difficult,18
might,18
rubber,18
age,18
half,18
tell,18
problem,18
2010,18
friend,18
thomas,18
super,17
sons,17
overall,17
priced,17
batteries,17
r,17
games,17
fact,17
round,17
items,17
build,17
promptly,17
inside,17
nephew,17
anyone,17
hour,17
through,17
apart,17
following,17
purchased,17
unfortunately,17
said,17
bond,17
high,16
here,16
wasn,16
instructions,16
stickers,16
instead,16
simple,16
excited,16
g,16
please,16
material,16
liked,16
detail,16
ago,16
older,16
eddie,16
fan,16
loom,16
unless,16
educational,16
battery,16
cube,16
cute,15
addition,15
wouldn,15
shop,15
cheaper,15
let,15
recommended,15
condition,15
already,15
player,15
gets,15
man,15
tiny,15
e,15
kit,15
almost,15
until,15
metal,15
sturdy,15
daughters,15
others,15
light,15
silver,15
week,15
etc,15
postage,15
inflated,15
green,15
banners,15
bear,14
school,14
blue,14
stick,14
lost,14
large,14
hand,14
short,14
larger,14
complete,14
later,14
stuff,14
wrong,14
saw,14
girls,14
house,14
months,14
young,14
cool,14
clean,14
return,14
us,14
show,14
isn,14
especially,14
dont,14
grey,14
gave,14
impressed,14
cannot,14
bus,14
fault,14
due,14
slightly,14
company,14
brought,14
pens,14
durable,14
standard,14
cut,14
fits,14
keeps,14
minutes,14
series,14
fell,14
puzzle,14
soft,13
number,13
those,13
damaged,13
ordering,13
h,13
k,13
o,13
full,13
ll,13
air,13
everything,13
younger,13
attention,13
plenty,13
longer,13
useless,13
nearly,13
went,13
grandchildren,13
paint,13
learning,13
asked,12
purpose,12
ended,12
pictured,12
advertised,12
ever,12
john,12
myself,12
takes,12
shape,12
version,12
night,12
expecting,12
change,12
actual,12
refund,12
mess,12
why,12
given,12
niece,12
package,12
yes,12
helpful,12
emma,12
nicely,12
someone,12
normal,12
grand,12
wait,12
pump,12
wheel,12
deck,12
costume,12
boys,12
partner,12
horse,12
engine,12
dominoes,12
month,11
misleading,11
quiet,11
add,11
doors,11
several,11
december,11
moshi,11
packs,11
finished,11
jane,11
reviewer,11
sorry,11
taken,11
similar,11
dark,11
santa,11
packet,11
rating,11
yr,11
maybe,11
awful,11
brand,11
falls,11
stobart,11
none,11
life,11
paddling,11
bottom,11
blow,11
holes,11
olds,11
blown,11
pirate,11
enjoy,11
send,11
wear,11
broke,11
cartridges,11
engines,11
today,10
paid,10
felt,10
beetle,10
drive,10
name,10
casino,10
disappointment,10
door,10
early,10
louise,10
means,10
kept,10
alternative,10
delighted,10
likes,10
damage,10
n,10
glad,10
carpet,10
book,10
extremely,10
whilst,10
plus,10
point,10
doesnt,10
table,10
second,10
front,10
break,10
goes,10
website,10
touch,10
suitable,10
plays,10
arrive,10
design,10
realised,10
fall,10
main,10
everyone,10
start,10
problems,10
turned,10
beware,10
spent,10
certainly,10
uses,10
move,10
replacement,10
packed,10
totally,10
characters,10
karen,10
saying,10
head,10
favourite,10
grandsons,10
trains,10
telling,10
legs,9
reasonable,9
anyway,9
type,9
huge,9
voice,9
awesome,9
f,9
paper,9
susan,9
morning,9
monster,9
building,9
filled,9
fans,9
reasonably,9
needs,9
story,9
cardboard,9
anything,9
perfectly,9
required,9
clothes,9
reason,9
minimodels,9
sets,9
pop,9
least,9
mini,9
store,9
room,9
coloured,9
floor,9
collect,9
ages,9
returned,9
themselves,9
trailer,9
properly,9
shapes,9
spare,9
pat,9
garden,9
sides,9
andy,9
less,9
b,9
w,9
trying,9
fairly,9
added,9
face,9
level,9
dinosaur,9
helium,9
wedding,9
shops,9
designed,9
painted,9
fire,9
challenging,9
chess,9
tracks,9
till,9
paddington,8
mine,8
ms,8
cat,8
2006,8
finish,8
adult,8
mentioned,8
careful,8
deal,8
haven,8
entertained,8
run,8
mum,8
calendars,8
doll,8
forward,8
bars,8
seen,8
hoped,8
follow,8
messy,8
fabulous,8
moulds,8
ideal,8
1000,8
airy,8
flash,8
imagesamazon,8
error,8
hair,8
sands,8
alive,8
under,8
wish,8
parents,8
special,8
base,8
adults,8
outfit,8
ice,8
considering,8
sadly,8
free,8
tools,8
stand,8
yellow,8
autoart,8
eye,8
clearly,8
built,8
cab,8
truck,8
believe,8
600,8
care,8
snapped,8
square,8
putting,8
particularly,8
2008,8
solid,8
stated,8
reply,8
stuck,8
usually,8
wants,8
buyer,8
pirates,8
im,8
ink,8
match,8
photo,8
