word,count
the,3630
on,2260
a,2157
and,2148
by,1838
it,1818
to,1741
0,1724
i,1499
for,1425
2015,1271
of,1188
5,1119
is,1053
this,905
but,860
2014,830
as,823
my,800
was,754
3,734
with,733
in,702
good,663
not,601
that,579
2013,568
very,552
great,552
are,532
jan,514
they,501
dec,489
you,473
t,463
have,453
stars,437
so,429
be,427
s,424
4,363
2016,359
them,352
five,331
nov,307
one,296
feb,294
would,293
these,289
quality,289
2,276
all,270
july,268
aug,267
we,259
oct,256
just,253
little,241
well,239
really,237
he,236
can,235
at,234
bought,233
when,231
old,228
had,227
if,226
sept,225
mar,225
april,224
up,219
jun,215
product,213
fun,210
1,209
like,207
which,205
more,205
2012,204
what,204
from,201
price,198
were,194
will,187
may,185
there,182
only,182
son,176
than,174
bit,174
game,173
year,171
get,171
time,171
too,171
or,170
loves,167
nice,166
12,159
out,158
6,157
toy,154
arrived,154
set,153
has,151
an,146
excellent,145
small,144
play,144
made,143
do,140
14,140
10,140
value,139
some,138
9,138
much,136
money,136
17,136
28,136
16,135
box,134
19,133
loved,132
buy,132
7,132
8,131
no,131
30,130
however,129
23,129
its,125
party,124
11,123
me,123
13,122
use,122
amazon,122
his,120
other,118
22,118
quite,116
m,115
happy,113
perfect,113
daughter,112
also,112
20,112
got,111
christmas,111
off,111
love,111
birthday,111
look,111
24,109
who,108
customer,108
size,106
two,106
cards,106
kids,105
item,104
about,104
18,104
looks,102
delivery,102
2011,101
does,101
she,101
27,101
recommend,101
15,101
even,99
26,98
don,97
again,95
ok,95
our,95
29,94
could,93
easy,93
still,92
lovely,92
though,92
present,91
did,91
think,89
make,89
disappointed,88
used,88
been,87
over,86
dice,86
plastic,86
expected,85
then,84
25,83
children,79
after,78
better,78
thought,78
21,78
lot,77
big,77
your,75
put,75
grandson,75
any,75
gift,75
now,73
mrs,73
three,73
pleased,72
brilliant,71
playing,71
back,69
didn,69
her,68
different,68
need,68
looked,68
worth,67
doesn,67
ordered,67
fit,67
keep,66
way,66
stickers,66
although,65
child,65
few,65
their,65
long,64
easily,64
together,64
him,64
quickly,63
model,63
see,62
found,62
d,62
say,61
enough,61
because,61
picture,61
balloons,61
new,60
car,60
down,59
day,59
same,59
go,58
how,58
work,58
colours,58
wanted,57
four,57
first,56
expensive,56
many,56
pieces,56
around,55
best,55
find,55
figure,55
ones,54
colour,54
into,54
once,54
mr,53
am,53
pretty,53
people,53
figures,53
take,52
looking,52
31,52
last,51
should,51
came,51
pack,51
come,50
something,50
ve,50
before,50
fast,50
received,49
smaller,49
job,49
fantastic,49
fine,49
toys,48
going,48
j,48
thing,48
sure,48
comes,47
part,47
hours,47
actually,46
lots,46
quick,46
far,46
board,46
2010,45
cheap,45
service,45
most,44
having,44
days,44
card,44
each,43
purchased,43
being,43
top,43
overall,42
where,42
said,42
mask,42
buying,41
absolutely,41
while,40
packaging,40
getting,39
disappointing,39
purchase,39
cute,39
exactly,39
games,39
another,38
seller,38
probably,38
want,38
using,38
